Category,Product Name
Afghani,Butter Paneer Masala
Afghani,Pandara Road Butter Paneer
Afghani,Smoky Butter Paneer
Afghani,Singhs Special Butter Paneer
Afghani,West Delhi Chatpata Butter Paneer
Afghani,Sharaabi Butter Paneer
Afghani,Nri Butter Paneer
Afghani,Butter Soya Chaap [300ml]+ Choose Your Bread
Afghani,Dal Makhani [300ml]+ Choose Your Bread
Afghani,Kadhai Paneer [300ml] + Choose Your Bread
Afghani,Butter Paneer [300ml] + Choose Your Bread
Afghani,Paneer Lababdar [300ml]+ Choose Your Bread
Afghani,Malai Kofta [300ml]+ Choose Your Bread
Afghani,"Chicken Lababdar (boneless, 3 Pcs) [300ml] + Choose Your Bread"
Afghani,"Singh Special Butter Chicken (boneless, 3 Pcs) [300ml] + Bread"
Afghani,Mutton Rara [300ml] + Choose Your Bread
Afghani,"Kadhai Chicken (boneless, 3 Pcs) [300ml] + Choose Your Bread"
Afghani,"Dhaba Style Chicken Curry (with Bone, 2 Pcs) [500 Ml] + Bread"
Afghani,Punjabi Paneer Tikka
Afghani,Kurkuri Soya Chaap
Afghani,Mushroom Tikka [full]
Afghani,Veg Seekh Kebab [6 Pcs]
Afghani,Paneer 65
Afghani,Soya Afghani Tikka
Afghani,Masala Gravy Soya Chaap
Afghani,Soya Tandoori Tikka
Afghani,Paneer Afghani Tikka
Afghani,Soya 65 [full]
Afghani,Soya Hariyali Tikka
Afghani,Dahi Ke Sholay [6 Pcs]
Afghani,Tandoori Chicken - Singh Special
Afghani,Chicken Malai Tikka
Afghani,Chicken 65
Afghani,Garlic Chicken Tikka
Afghani,Punjabi Chicken Tikka
Afghani,Special Hariyali Chicken Tikka
Afghani,Chicken Seekh Kebab
Afghani,Mutton Seekh Kebab [4 Pcs]
Afghani,Dal Makhani
Afghani,Kadhai Paneer
Afghani,Singh Special Butter Soya Chaap
Afghani,Paneer Lababdar
Afghani,Mughlai Soya Chaap
Afghani,Singh Special Butter Paneer
Afghani,Dhaba Yellow Dal Tadka
Afghani,Mix Vegetables
Afghani,Soya Rarra
Afghani,Kadhai Soya Chaap Tikka
Afghani,Palak Paneer
Afghani,Mughlai Paneer
Afghani,Veg Keema
Afghani,Malai Kofta
Afghani,Home Style Chicken Curry
Afghani,Kadhai Chicken [boneless]
Afghani,Chicken Lababdar [boneless]
Afghani,Chicken Tikka Masala [boneless]
Afghani,Mutton Curry
Afghani,Singhs Special Butter _chicken [boneless]
Afghani,Chicken Rara
Afghani,Palak Chicken [boneless]
Afghani,Butter Chicken Biryani
Afghani,Delhi Style Chicken Biryani [for 2 Persons- 500 Ml]
Afghani,Chicken Tikka Biryani [for 2 Persons- 500 Ml]
Afghani,Soya Chaap Biryani
Afghani,Butter Paneer Biryani [for 2 Persons- 500 Ml]
